INTERACTOR_A	INTERACTOR_B
AT1G01080	AT1G01320
AT1G01080	AT1G07320
AT1G01080	AT1G07440
AT1G01080	AT1G12250
AT1G01080	AT1G12410
AT1G01080	AT1G12800
AT1G01080	AT1G12900
AT1G01080	AT1G14270
AT1G01080	AT1G14345
AT1G01080	AT1G15730
AT1G01080	AT1G15820
AT1G01080	AT1G16880
AT1G01080	AT1G17650
AT1G01080	AT1G18060
AT1G01080	AT1G18170
AT1G01080	AT1G18730
AT1G01080	AT1G19150
AT1G01080	AT1G20020
AT1G01080	AT1G20340
AT1G01080	AT1G20810
AT1G01080	AT1G21350
AT1G01080	AT1G21500
AT1G01080	AT1G26220
AT1G01080	AT1G26230
AT1G01080	AT1G29070
AT1G01080	AT1G31800
AT1G01080	AT1G32060
AT1G01080	AT1G32080
AT1G01080	AT1G32160
AT1G01080	AT1G32200
AT1G01080	AT1G32470
AT1G01080	AT1G32550
AT1G01080	AT1G32990
AT1G01080	AT1G35420
AT1G01080	AT1G36320
AT1G01080	AT1G42970
AT1G01080	AT1G44575
AT1G01080	AT1G44920
AT1G01080	AT1G45230
AT1G01080	AT1G45474
AT1G01080	AT1G50900
AT1G01080	AT1G51100
AT1G01080	AT1G51110
AT1G01080	AT1G52220
AT1G01080	AT1G52230
AT1G01080	AT1G55370
AT1G01080	AT1G56500
AT1G01080	AT1G60950
AT1G01080	AT1G63970
AT1G01080	AT1G64355
AT1G01080	AT1G67700
AT1G01080	AT1G67740
AT1G01080	AT1G68010
AT1G01080	AT1G71500
AT1G01080	AT1G72610
AT1G01080	AT1G73655
AT1G01080	AT1G74470
AT1G01080	AT1G75350
AT1G01080	AT1G76450
AT1G01080	AT1G76730
AT1G01080	AT1G77490
AT1G01080	AT1G79850
AT1G01080	AT2G26500
AT1G01080	AT2G33180
AT1G01080	AT2G33450
AT1G01080	AT2G39730
AT1G01080	AT2G40490
AT1G01080	AT2G41680
AT1G01080	AT2G43560
AT1G01080	AT2G47450
AT1G01080	AT2G47590
AT1G01080	AT3G01440
AT1G01080	AT3G01480
AT1G01080	AT3G01500
AT1G01080	AT3G02730
AT1G01080	AT3G04760
AT1G01080	AT3G04790
AT1G01080	AT3G06950
AT1G01080	AT3G06980
AT1G01080	AT3G07670
AT1G01080	AT3G08010
AT1G01080	AT3G08740
AT1G01080	AT3G08920
