INTERACTOR_A	INTERACTOR_B
LOC_Os10g09870	LOC_Os01g60670
LOC_Os10g09870	LOC_Os02g47150
LOC_Os10g09870	LOC_Os01g32640
LOC_Os10g09870	LOC_Os12g44090
LOC_Os10g09870	LOC_Os05g38480
LOC_Os10g09870	LOC_Os04g48760
LOC_Os10g09870	LOC_Os01g56320
LOC_Os10g09870	LOC_Os01g70560
LOC_Os10g09870	LOC_Os12g19180
LOC_Os10g09870	LOC_Os05g41080
LOC_Os10g09870	LOC_Os01g39600
LOC_Os10g09870	LOC_Os10g28630
LOC_Os10g09870	LOC_Os03g58830
LOC_Os10g09870	LOC_Os01g13530
LOC_Os10g09870	LOC_Os06g01490
LOC_Os10g09870	LOC_Os12g37400
LOC_Os10g09870	LOC_Os05g41750
LOC_Os10g09870	LOC_Os10g41370
LOC_Os10g09870	LOC_Os10g42110
LOC_Os10g09870	LOC_Os03g38010
LOC_Os10g09870	LOC_Os01g42040
LOC_Os10g09870	LOC_Os07g05190
LOC_Os10g09870	LOC_Os10g42230
LOC_Os10g09870	LOC_Os01g64820
LOC_Os10g09870	LOC_Os05g39850
LOC_Os10g09870	LOC_Os03g22040
LOC_Os10g09870	LOC_Os09g29100
LOC_Os10g09870	LOC_Os02g55410
LOC_Os10g09870	LOC_Os03g49610
LOC_Os10g09870	LOC_Os06g20370
LOC_Os10g09870	LOC_Os06g14460
LOC_Os10g09870	LOC_Os12g41230
LOC_Os10g09870	LOC_Os05g30750
LOC_Os10g09870	LOC_Os05g33030
LOC_Os10g09870	LOC_Os07g46560
LOC_Os05g06840	LOC_Os06g08790
LOC_Os05g06840	LOC_Os03g11540
LOC_Os05g06840	LOC_Os08g32600
LOC_Os05g06840	LOC_Os01g09790
LOC_Os05g06840	LOC_Os01g01170
LOC_Os05g06840	LOC_Os01g64820
LOC_Os05g06840	LOC_Os06g51110
LOC_Os05g06840	LOC_Os01g56020
LOC_Os05g06840	LOC_Os04g28260
LOC_Os05g06840	LOC_Os02g10020
LOC_Os05g06840	LOC_Os01g15480
LOC_Os05g06840	LOC_Os10g01570
LOC_Os05g06840	LOC_Os02g06340
LOC_Os05g06840	LOC_Os02g58470
LOC_Os05g06840	LOC_Os03g45760
LOC_Os05g06840	LOC_Os12g03130
LOC_Os05g06840	LOC_Os05g39850
LOC_Os05g06840	LOC_Os03g11400
LOC_Os05g06840	LOC_Os03g07810
LOC_Os05g06840	LOC_Os03g56070
LOC_Os05g06840	LOC_Os01g54420
LOC_Os05g06840	LOC_Os09g36740
LOC_Os05g06840	LOC_Os02g55410
LOC_Os05g06840	LOC_Os04g15800
LOC_Os05g06840	LOC_Os12g37400
LOC_Os05g06840	LOC_Os05g41750
LOC_Os05g06840	LOC_Os09g28120
LOC_Os05g06840	LOC_Os01g36390
LOC_Os05g06840	LOC_Os07g22580
LOC_Os05g06840	LOC_Os10g26280
LOC_Os12g42650	LOC_Os10g40090
LOC_Os12g42650	LOC_Os04g42210
LOC_Os12g42650	LOC_Os05g20570
LOC_Os12g42650	LOC_Os01g10470
LOC_Os12g42650	LOC_Os02g03520
LOC_Os12g42650	LOC_Os04g57270
LOC_Os12g42650	LOC_Os11g31400
LOC_Os12g42650	LOC_Os02g03510
LOC_Os12g42650	LOC_Os11g43630
LOC_Os12g42650	LOC_Os06g03390
LOC_Os01g12220	LOC_Os09g39390
LOC_Os01g12220	LOC_Os05g41640
LOC_Os01g12220	LOC_Os05g28090
LOC_Os01g12220	LOC_Os08g06530
LOC_Os01g12220	LOC_Os05g32390
LOC_Os01g12220	LOC_Os06g22690
LOC_Os01g12220	LOC_Os04g51300
LOC_Os01g12220	LOC_Os05g33280
LOC_Os01g12220	LOC_Os02g51020
LOC_Os01g12220	LOC_Os10g01044
LOC_Os01g12220	LOC_Os02g42570
LOC_Os01g12220	LOC_Os06g05950
LOC_Os01g12220	LOC_Os08g37940
LOC_Os01g12220	LOC_Os02g57010
LOC_Os01g12220	LOC_Os11g11210
LOC_Os01g12220	LOC_Os08g07060
LOC_Os01g12220	LOC_Os03g29730
